predictor,response_or,response_low,response_high,outpatient_only_or,outpatient_only_low,outpatient_only_high
"年齢, 10歳増加あたり",0.82,0.65,1.03,0.96,0.72,1.29
女性,0.94,0.61,1.45,1.08,0.68,1.73
"罹病期間, 10年増加あたり",0.78,0.61,0.99,0.91,0.68,1.22
"BE-PSD-J 精神病症状, 1点増加あたり",1.42,1.18,1.72,1.18,0.96,1.46
"BE-PSD-J 思考の解体, 1点増加あたり",1.19,0.99,1.43,1.05,0.84,1.31
"BE-PSD-J 陰性症状, 1点増加あたり",0.79,0.65,0.95,1.04,0.82,1.32
"BE-PSD-J 興奮/躁, 1点増加あたり",1.11,0.92,1.34,0.93,0.72,1.2
"BE-PSD-J うつ/不安, 1点増加あたり",1.07,0.9,1.27,1.22,0.98,1.53
"過去の精神科入院回数, 1回増加あたり",1.05,0.98,1.13,0.98,0.9,1.07
"直近入院からの月数, 12か月増加あたり",0.94,0.84,1.05,1.02,0.89,1.18
現在LAI使用中,0.91,0.57,1.45,1.12,0.66,1.9
過去のクロザピン拒否あり,0.51,0.27,0.96,0.74,0.38,1.45
