physician_id,facility,psychiatry_years,psychiatry_specialist,designated_mh_doctor,prior_clozapine_initiations,current_clozapine_patients
Dr 01,岡山,9,1,1,1,3
Dr 02,岡山,17,1,1,2,2
Dr 03,岡山,13,1,1,3,0
Dr 04,岡山,4,0,0,3,7
Dr 05,岡山,17,1,0,8,5
Dr 06,岡山,20,1,1,6,0
Dr 07,岡山,12,0,0,1,0
Dr 08,岡山,10,0,1,2,0
Dr 09,岡山,5,0,1,5,0
Dr 10,岡山,15,1,0,0,0
Dr 11,岡山,8,1,1,0,2
Dr 12,岡山,17,0,1,1,0
Dr 13,岡山,23,1,1,12,0
Dr 14,岡山,7,1,1,1,0
Dr 15,岡山,14,1,1,1,1
Dr 16,岡山,2,0,0,0,0
Dr 17,岡山,8,1,1,0,2
Dr 18,岡山,2,0,0,5,2
Dr 19,岡山,16,1,1,11,3
Dr 20,岡山,9,1,1,0,5
Dr 21,岡山,11,1,1,0,1
Dr 22,岡山,15,1,1,0,1
Dr 23,岡山,13,1,1,4,1
Dr 24,岡山,4,0,0,0,0
Dr 25,岡山,15,1,1,0,0
Dr 26,岡山,16,1,1,1,1
Dr 27,岡山,9,1,1,3,2
Dr 28,岡山,12,1,1,0,2
Dr 29,岡山,7,1,1,5,0
Dr 30,岡山,8,1,1,1,3
Dr 31,岡山,3,0,0,0,0
Dr 32,山梨,20,1,1,0,0
Dr 33,山梨,2,0,0,0,6
Dr 34,山梨,16,1,1,1,1
Dr 35,山梨,9,1,1,1,0
Dr 36,山梨,12,1,1,4,3
Dr 37,山梨,12,1,0,3,1
Dr 38,山梨,10,1,1,2,3
Dr 39,山梨,16,1,1,1,4
Dr 40,山梨,17,0,0,4,0
Dr 41,山梨,17,1,1,3,0
Dr 42,山梨,13,1,0,7,2
Dr 43,山梨,9,1,1,3,1
Dr 44,山梨,10,1,1,11,0
Dr 45,山梨,3,0,0,2,1
Dr 46,山梨,11,0,1,5,1
Dr 47,山梨,13,1,1,1,0
Dr 48,山梨,9,1,1,1,0
Dr 49,山梨,12,1,1,3,5
Dr 50,山梨,19,1,1,0,0
