physician_id,psychiatry_experience_years,psychiatry_specialist,designated_mental_health_physician,clozapine_initiation_cases,current_clozapine_patients,outpatient_recommendation_rate,stably_unwell_reason_rate,expected_refusal_reason_rate
D01,29,1,0,6,4,0.506,0.070,0.369
D02,8,1,0,2,2,0.777,0.068,0.552
D03,4,0,0,0,3,0.672,0.221,0.293
D04,6,1,1,5,3,0.415,0.117,0.289
D05,18,0,1,26,8,0.851,0.028,0.285
D06,9,1,0,0,1,0.611,0.211,0.522
D07,12,1,1,0,1,0.382,0.339,0.409
D08,17,1,0,5,2,0.909,0.129,0.200
D09,6,1,0,8,6,0.367,0.381,0.414
D10,11,0,1,5,3,0.478,0.332,0.499
D11,22,1,1,11,2,0.453,0.090,0.192
D12,19,0,0,3,1,0.505,0.228,0.596
D13,10,1,1,4,0,0.572,0.020,0.270
D14,12,1,1,9,4,0.477,0.273,0.289
D15,15,1,0,1,13,0.645,0.483,0.497
D16,6,1,0,4,5,0.453,0.250,0.448
D17,16,0,1,8,10,0.622,0.044,0.388
D18,24,1,0,8,6,0.675,0.173,0.435
D19,16,1,1,3,8,0.170,0.059,0.432
D20,2,0,0,0,1,0.387,0.147,0.273
D21,19,1,1,6,2,0.456,0.176,0.479
D22,26,1,0,4,1,0.479,0.481,0.246
D23,2,0,0,0,1,0.710,0.125,0.446
D24,4,0,0,3,2,0.602,0.371,0.476
D25,3,0,0,0,3,0.528,0.494,0.335
D26,8,1,1,5,2,0.491,0.143,0.322
D27,11,0,0,4,0,0.583,0.084,0.574
D28,14,1,1,7,7,0.502,0.313,0.267
D29,13,1,1,7,3,0.426,0.138,0.384
D30,4,0,0,4,1,0.470,0.388,0.631
D31,10,0,1,12,2,0.599,0.279,0.421
D32,16,1,1,6,4,0.469,0.321,0.624
D33,14,0,0,0,3,0.475,0.330,0.298
D34,13,1,1,0,0,0.510,0.360,0.342
D35,24,0,0,10,5,0.398,0.474,0.195
D36,4,0,0,8,2,0.451,0.192,0.357
D37,8,0,1,3,5,0.534,0.304,0.430
D38,27,1,1,3,1,0.417,0.440,0.235
D39,10,0,1,3,4,0.436,0.370,0.252
D40,15,1,1,3,11,0.478,0.590,0.233
D41,18,1,1,5,6,0.689,0.151,0.213
D42,25,0,1,4,1,0.575,0.136,0.399
D43,9,1,1,1,2,0.617,0.433,0.422
D44,7,0,0,1,2,0.620,0.423,0.562
D45,6,1,1,1,2,0.378,0.234,0.557
D46,11,1,0,5,2,0.468,0.469,0.539
D47,22,1,1,3,0,0.488,0.206,0.382
D48,3,0,0,5,4,0.639,0.224,0.633
