participant_id,inpatient_now_accept,outpatient_now_accept,inpatient_worse_accept,outpatient_worse_accept
P001,0,1,0,1
P002,1,1,1,1
P003,0,1,1,1
P004,1,1,1,0
P005,1,0,0,1
P006,0,0,0,1
P007,0,1,1,1
P008,0,0,1,1
P009,1,1,0,1
P010,1,1,1,1
P011,0,0,1,1
P012,0,1,0,1
P013,0,1,1,1
P014,0,0,1,1
P015,0,1,1,1
P016,0,1,1,1
P017,0,0,0,1
P018,0,1,0,1
P019,0,0,0,1
P020,0,1,1,1
P021,1,1,1,1
P022,0,1,0,1
P023,0,0,1,1
P024,1,1,0,1
P025,0,1,0,1
P026,1,1,0,1
P027,0,1,1,1
P028,1,0,0,1
P029,1,0,0,1
P030,0,1,0,1
P031,1,1,1,1
P032,0,1,1,1
P033,0,1,0,1
P034,0,1,1,1
P035,0,1,0,1
P036,0,1,1,1
P037,0,1,1,1
P038,0,1,0,1
P039,1,1,1,1
P040,0,1,0,1
P041,0,0,1,1
P042,0,1,1,1
P043,0,1,1,1
P044,0,1,0,1
P045,0,1,1,0
P046,1,0,0,1
P047,0,1,1,1
P048,0,1,0,1
P049,0,1,1,1
P050,0,1,1,1
P051,0,1,0,1
P052,0,0,0,0
P053,1,1,1,1
P054,1,0,0,0
P055,0,0,1,0
P056,1,1,1,1
P057,0,1,1,1
P058,0,1,1,1
P059,0,0,1,0
P060,0,1,0,1
P061,1,1,1,1
P062,1,1,1,1
P063,0,1,0,0
P064,0,0,1,0
P065,0,1,0,1
P066,0,1,0,1
P067,0,1,1,1
P068,0,1,0,1
P069,0,0,1,1
P070,0,1,1,1
P071,0,1,0,1
P072,0,1,0,1
P073,0,0,1,1
P074,0,1,1,0
P075,1,1,1,1
P076,0,1,1,1
P077,0,1,1,1
P078,0,1,0,1
P079,0,0,1,1
P080,1,1,0,0
P081,0,0,1,1
P082,0,1,0,1
P083,0,1,1,0
P084,0,1,1,1
P085,1,0,1,1
P086,0,1,1,1
P087,1,0,0,1
P088,0,1,0,1
P089,0,1,1,1
P090,1,0,1,1
P091,0,1,0,0
P092,1,0,0,1
P093,0,1,1,1
P094,0,0,0,1
P095,0,1,1,1
P096,0,1,1,1
P097,0,1,1,1
P098,0,0,0,1
P099,0,0,0,1
P100,0,1,1,1
P101,1,1,1,1
P102,1,1,1,1
P103,0,0,1,1
P104,0,0,1,1
P105,1,0,1,1
P106,1,1,0,1
P107,0,0,1,1
P108,0,0,1,1
P109,0,1,0,1
P110,0,1,0,0
P111,0,1,1,0
P112,0,0,1,0
P113,1,1,0,1
P114,0,1,1,1
P115,1,1,1,1
P116,0,1,1,1
P117,1,1,0,1
P118,0,1,1,1
P119,1,1,1,1
P120,0,0,1,1
P121,1,1,0,1
P122,0,1,0,1
P123,1,1,0,1
P124,0,1,0,0
P125,0,0,1,1
P126,0,0,0,1
P127,1,1,0,1
P128,0,0,1,1
P129,0,0,1,1
P130,0,1,0,0
P131,1,0,1,1
P132,0,1,1,1
P133,0,1,1,1
P134,0,1,0,1
P135,0,1,1,1
P136,0,1,1,1
P137,0,1,0,0
P138,0,0,0,1
P139,0,0,1,1
P140,0,0,0,1
P141,0,1,1,0
P142,0,1,0,1
P143,1,0,0,1
P144,0,1,0,1
P145,0,1,0,1
P146,0,0,1,0
P147,1,1,0,1
P148,0,0,1,1
P149,1,1,1,1
P150,0,1,1,1
P151,1,1,1,1
P152,0,1,1,1
P153,0,0,0,1
P154,0,1,0,1
P155,1,1,1,1
P156,0,0,1,1
P157,1,1,1,1
P158,1,1,0,1
P159,0,0,1,1
P160,1,1,1,1
P161,1,1,0,1
P162,1,1,1,1
P163,0,0,1,1
P164,1,1,1,1
P165,0,0,0,1
P166,1,1,0,1
P167,0,1,0,1
P168,0,1,0,1
P169,0,1,1,1
P170,1,1,0,1
P171,1,1,1,1
P172,0,1,1,0
P173,0,1,1,0
P174,1,0,0,1
P175,0,1,1,1
P176,0,0,1,1
P177,0,0,1,1
P178,0,1,0,0
P179,0,1,1,0
P180,1,1,0,0
